epoch: 0 	 iteration: 131/6240 	 elapsed time: 1143.79	 mean loss prob: nan	 mean loss cls: 28761999059153260878970925088768.00000
epoch: 0 	 iteration: 141/6240 	 elapsed time: 1229.09	 mean loss prob: nan	 mean loss cls: 28303828262777512568049031446528.00000
epoch: 0 	 iteration: 151/6240 	 elapsed time: 1314.36	 mean loss prob: nan	 mean loss cls: 23691145201669863430115773382656.00000
epoch: 1 	 iteration: 157/6240 	 elapsed time: 1365.51	 mean loss prob: nan	 mean loss cls: 2765848189960247045126572998656.00000
epoch: 1 	 iteration: 167/6240 	 elapsed time: 1450.79	 mean loss prob: nan	 mean loss cls: 29520114022781955605170818646016.00000
epoch: 1 	 iteration: 177/6240 	 elapsed time: 1536.10	 mean loss prob: nan	 mean loss cls: 29691612239552486899894636773376.00000
epoch: 1 	 iteration: 187/6240 	 elapsed time: 1621.45	 mean loss prob: nan	 mean loss cls: 36146357332671699574652839919616.00000
epoch: 1 	 iteration: 197/6240 	 elapsed time: 1706.80	 mean loss prob: nan	 mean loss cls: 22358495495824233876411817918464.00000
epoch: 1 	 iteration: 207/6240 	 elapsed time: 1792.12	 mean loss prob: nan	 mean loss cls: 36560324965379058584430776942592.00000
epoch: 1 	 iteration: 217/6240 	 elapsed time: 1877.44	 mean loss prob: nan	 mean loss cls: 32041616543933333030764128763904.00000
epoch: 1 	 iteration: 227/6240 	 elapsed time: 1962.71	 mean loss prob: nan	 mean loss cls: 36161422966235737083428028284928.00000
epoch: 1 	 iteration: 237/6240 	 elapsed time: 2047.94	 mean loss prob: nan	 mean loss cls: 20975663279206401065665809088512.00000
epoch: 1 	 iteration: 247/6240 	 elapsed time: 2133.33	 mean loss prob: nan	 mean loss cls: 26870990038557140236120476352512.00000
epoch: 1 	 iteration: 257/6240 	 elapsed time: 2220.48	 mean loss prob: nan	 mean loss cls: 31518528848895918362418862882816.00000
epoch: 1 	 iteration: 267/6240 	 elapsed time: 2308.34	 mean loss prob: nan	 mean loss cls: 26938576245428515694761599827968.00000
epoch: 1 	 iteration: 277/6240 	 elapsed time: 2395.97	 mean loss prob: nan	 mean loss cls: 27831164863676224082580760166400.00000
epoch: 1 	 iteration: 287/6240 	 elapsed time: 2483.47	 mean loss prob: nan	 mean loss cls: 30602736108466526782220392202240.00000
epoch: 1 	 iteration: 297/6240 	 elapsed time: 2571.10	 mean loss prob: nan	 mean loss cls: 28315629796628590578052513136640.00000
epoch: 1 	 iteration: 307/6240 	 elapsed time: 2687.55	 mean loss prob: nan	 mean loss cls: 29222918952842812856636100575232.00000
epoch: 2 	 iteration: 313/6240 	 elapsed time: 2740.18	 mean loss prob: nan	 mean loss cls: 2304873592377357505491242057728.00000
epoch: 2 	 iteration: 323/6240 	 elapsed time: 2827.93	 mean loss prob: nan	 mean loss cls: 27673257390969800449038988869632.00000
epoch: 2 	 iteration: 333/6240 	 elapsed time: 2917.93	 mean loss prob: nan	 mean loss cls: 29218796515797926971150352515072.00000
epoch: 2 	 iteration: 343/6240 	 elapsed time: 3008.57	 mean loss prob: nan	 mean loss cls: 31072604471072866245036742803456.00000
epoch: 2 	 iteration: 353/6240 	 elapsed time: 3099.38	 mean loss prob: nan	 mean loss cls: 36155209087522917889470038540288.00000
epoch: 2 	 iteration: 363/6240 	 elapsed time: 3186.71	 mean loss prob: nan	 mean loss cls: 31117068762718292306082435956736.00000
epoch: 2 	 iteration: 373/6240 	 elapsed time: 3273.22	 mean loss prob: nan	 mean loss cls: 31545749022650361352916547141632.00000
